name,kind,lat,lon,province/city,province/cityNúi Đôi,peak,21.2576705,105.8641682,Hà Nội
Cầu Thê Húc,attraction,21.0307813,105.8527835,,Hà Nội,,,,
Lăng Chủ tịch Hồ Chí Minh,attraction,21.0367617,105.8346919,,Hà Nội,,,,
Phủ Chủ Tịch,attraction,21.0393019,105.8344412,,Hà Nội,,,,
Nhà hát Lớn,attraction,21.0241925,105.857823,,Hà Nội,,,,
Nhà sàn Bác Hồ,attraction,21.0381713,105.833152,,Hà Nội,,,,
Bảo tàng Hà Nội,museum,21.010013,105.786309,,Hà Nội,,,,
Nhà tù Hỏa Lò,museum,21.0253763,105.8464274,,Hà Nội,,,,
Hoàng thành Thăng Long,attraction,21.0357532,105.8402425,,Hà Nội,,,,
Chùa Một Cột,attraction,21.0358556,105.8336144,,Hà Nội,,,,
Khuê Văn Các,attraction,21.0285826,105.8358894,,Hà Nội,,,,
Co Loa Citadel,attraction,21.1139213,105.8735561,,Hà Nội,,,,
Thiên đường Bảo Sơn,park,20.9981551,105.7319783,,Hà Nội,,,,
Bãi đá Sông Hồng,camp_site,21.0784083,105.8352103,,Hà Nội,,,,
Quảng trường Ba Đình,attraction,21.0369875,105.8358029,,Hà Nội,,,,
Phố đường tàu Hà Nội,attraction,21.0299738,105.8431281,,Hà Nội,,,,
Vinpearl Aquarium Times City,park,20.9964112,105.8679407,,Hà Nội,,,,
Lăng Tự Đức,tomb,16.4331813,107.5645857,Huế,,,,,
Tử Cấm Thành,attraction,16.4694914,107.577755,Huế,,,,,
Temple of Literature,monument,16.452965,107.538902,Huế,,,,,
Đồi Vọng Cảnh,peak,16.4352692,107.562407,Huế,,,,,
Hoàng Thành Huế,museum,16.4689726,107.5781266,Huế,,,,,
Lăng vua Gia Long,attraction,16.3620472,107.5969243,Huế,,,,,
Quoc Hoc,attraction,16.4609446,107.5825343,Huế,,,,,
Cầu Vĩ Dạ,attraction,16.4714657,107.5997497,Huế,,,,,
Khai Dinh Tomb,tomb,16.3992686,107.5905785,Huế,,,,,
Chợ Đông Ba,attraction,16.4725333,107.5886564,Huế,,,,,
Bảo tàng Hồ Chí Minh,museum,16.4596249,107.5811082,Huế,,,,,
Quốc Tử Giám,attraction,16.4705977,107.5824866,Huế,,,,,
Điện Thái Hòa,attraction,16.4687434,107.5783867,Huế,,,,,
Biển Lăng Cô,beach,16.278286,108.061393, Huế,,,,,
Dinh Bao Dai 1,castle,11.9444549,108.4698681,Lâm Đồng,,,,,
Bảo Tàng Lâm Đồng,museum,11.9405756,108.4599038,Lâm Đồng,,,,,
Thung Lũng Tình Yêu,peak,11.9781853,108.4499229,Lâm Đồng,,,,,
Núi Lang Biang,peak,12.0472573,108.4405826,Lâm Đồng,,,,,
Thác Dambri,viewpoint,11.642191,107.7428354,Lâm Đồng,,,,,
Thung Lũng Vàng,attraction,12.0067009,108.3827889,Lâm Đồng,,,,,
Ma Rừng Lữ Quán,attraction,12.0026337,108.3473592,Lâm Đồng,,,,,
cây thông cô đơn,attraction,12.0206505,108.3842224,Lâm Đồng,,,,,
Ga Đà Lạt,attraction,11.9415603,108.4542354,Lâm Đồng,,,,,
Tuyệt Tình Cốc,viewpoint,12.0464933,108.3386222,Lâm Đồng,,,,,
Đài Đức Mẹ,artwork,11.9364727,108.4211912,Lâm Đồng,,,,,
Đồi Cù,peak,11.9467725,108.4446208,Lâm Đồng,,,,,
Hồ Tuyền Lâm,viewpoint,11.8995542,108.4372983,Lâm Đồng,,,,,
Prenn,attraction,11.8746663,108.4721262,Lâm Đồng,,,,,
Chợ đêm Da Lat,attraction,11.9418082,108.4370967,Lâm Đồng,,,,,
Crazy House,museum,11.9345706,108.4306649,Lâm Đồng,,,,,
Nhà lao thiếu nhi Đà Lạt,museum,11.9521331,108.4706527,Lâm Đồng,,,,,
Bãi Tiên,picnic_site,12.2967642,109.2348449,Nha Trang,,,,,
Mũi Đôi,cape,12.6481985,109.4616121,Nha Trang,,,,,
VinPearl,park,12.2167276,109.2399577,Nha Trang,,,,,
Mũi Kê Gà,cape,12.3054293,109.242305,Nha Trang,,,,,
Bán Đảo Hòn Gốm,attraction,12.6482916,109.4249862,Nha Trang,,,,,
Khu du lịch Thác Yang Bay,attraction,12.1947322,108.9173118,Nha Trang,,,,,
Monkey Island,attraction,12.3597651,109.2136043,Nha Trang,,,,,
Bãi dài nha trang,artwork,12.1158777,109.1950611,Nha Trang,,,,,
Bịp Sơn.,camp_site,12.7115092,109.2956674,Nha Trang,,,,,
Bãi Rạng - Hòn Ghềnh,attraction,12.6509905,109.4581213,Nha Trang,,,,,
Vịnh Nha Trang,bay,12.2566743,109.2091671,Nha Trang,,,,,
Khu Tưởng Niệm Chiến Sĩ Gạc Ma,memorial,12.0852335,109.1924217,Nha Trang,,,,,
Bảo tàng Hải dương học Nha Trang,museum,12.2082555,109.2147071,Nha Trang,,,,,
Lăng Mẫu,memorial,20.3555875,106.0766009,Ninh Bình,,,,,
Suối nước nóng Kênh Gà,attraction,20.3287705,105.8300152,Ninh Bình,,,,,
Hang Dai,cave,20.2468209,105.9143554,Ninh Bình,,,,,
Chùa Nhất Trụ,attraction,20.2878492,105.9074323,Ninh Bình,,,,,
Khu Du lịch sinh Thái Tràng An,attraction,20.2530403,105.9181796,Ninh Bình,,,,,
Tam Cốc -Bích Động,attraction,20.2163426,105.937457,Ninh Bình,,,,,
Núi Kỳ Lân,peak,20.2641952,105.9677606,Ninh Bình,,,,,
Trang An,attraction,20.2531609,105.9179932,Ninh Bình,,,,,
Đền vua Đinh,museum,20.28811,105.9124347,Ninh Bình,,,,,
CƠ SỞ BẢO TỒN GẤU Ninh Bình,attraction,20.2078516,105.7633634,Ninh Bình,,,,,
Làng nghề sơn mài Cát Đằng,attraction,20.2974936,106.0294016,Ninh Bình,,,,,
Làng nghề dệt chiếu Nga Sơn,attraction,20.0083366,105.970651,Ninh Bình,,,,,
Dot Cave,cave,20.257273,105.9067478,Ninh Bình,,,,,
Đồi Thung Thi,peak,20.0269821,105.7907521,Ninh Bình,,,,,
Điện Tam Thế,attraction,20.2738547,105.8646942,Ninh Bình,,,,,
Chùa Bái Đính,attraction,20.2736649,105.8643917,Ninh Bình,,,,,
Đền vua Đinh Tiên Hoàng,attraction,20.284612,105.9051374,Ninh Bình,,,,,
Cố đô Hoa Lư,attraction,20.2828485,105.9017497,Ninh Bình,,,,,
Động Phong Nha,cave,17.5813674,106.2830788,Quảng Bình,,,,,
Hang Sơn Đoòng,cave,17.456944,106.2875,Quảng Bình,,,,,
Động Thiên Đường,cave,17.5192008,106.223045,Quảng Bình,,,,,
Động Tiên Sơn,cave,17.5802528,106.282071,Quảng Bình,,,,,
Hang 8 cô,attraction,17.5038683,106.2617412,Quảng Bình,,,,,
Suoi Nuoc Mooc,monument,17.5553924,106.2357356,Quảng Bình,,,,,
Hang Én Cave,attraction,17.441321,106.292725,Quảng Bình,,,,,
Bia di tích chiến thắng Khe Gát,memorial,17.6605639,106.2574276,Quảng Bình,,,,,
Bãi biển Nhật Lệ,beach,17.491054,106.627149,Quảng Bình,,,,,
Vịnh Hạ Long,attraction,20.9084384,107.0682782,Quảng Ninh,,,,,
Động Hoa Cương,cave,20.8382771,106.9842347,Quảng Ninh,,,,,
Hang Sửng Sốt,cave,20.8439972,107.091255,Quảng Ninh,,,,,
Núi Cao Vọng,peak,20.8398363,107.0065981,Quảng Ninh,,,,,
Dong Thien Long,cave,20.8346326,106.9387017,Quảng Ninh,,,,,
Núi Bài Thơ,peak,20.9483211,107.0782931,Quảng Ninh,,,,,
Đồi Thiên Văn,peak,20.8058209,106.6301714,Quảng Ninh,,,,,
Núi Yên Tử,peak,21.1607827,106.7149285,Quảng Ninh,,,,,
Hòn Gà Chọi,museum,20.8974878,107.0317965,Quảng Ninh,,,,,
Bảo tàng Quảng Ninh,museum,20.9486771,107.0975562,Quảng Ninh,,,,,
Cat Ba Island,viewpoint,20.7221491,107.0543571,Quảng Ninh,,,,,
Old Mosque,attraction,20.8563437,106.6845939,Quảng Ninh,,,,,
Bãi Đá Đen,beach,21.4370451,107.9777164,Quảng Ninh,,,,,
Bảo tàng Chiến thắng Bạch Đằng,museum,20.9627326,106.7610235,Quảng Ninh,,,,,
Tháp Đồng Hồ,attraction,20.9516105,107.0851999,Quảng Ninh,,,,,
Sunworld,park,20.9518994,107.0483086,Quảng Ninh,,,,,
